host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,room_type,accommodates,beds,price,review_scores_rating,bathrooms_number,number_of_days_booked
within a day,100,88,Western Addition,Private room,2,1,65,4.78,2,14
within a few hours,100,64,Noe Valley,Entire home/apt,6,3,320,4.78,2,337
within an hour,96.43234029939234,87.44211994421188,South of Market,Entire home/apt,2,2,180,4.64,1,0
within an hour,100,60,Sunset,Private room,1,1,55,4.5,1,259
within an hour,100,60,Sunset,Private room,1,1,72,4.766641295546558,1,186
within an hour,100,100,Mission,Entire home/apt,2,2,85,4.8,1,240
within a few hours,100,79,Western Addition,Entire home/apt,6,3,750,5,3,203
within an hour,100,98,Richmond,Entire home/apt,4,2,141,4.43,1,192
within an hour,100,100,Noe Valley,Entire home/apt,4,3,210,4.77,1,2
within a day,100,27,Twin Peaks,Entire home/apt,2,1,215,4.89,1,365
within a day,75,100,Potrero Hill,Private room,2,1,117,4.98,1,287
within an hour,96.43234029939234,100,Mission,Private room,2,1,149,4.79,1,186
within an hour,96.43234029939234,50,Bernal Heights,Entire home/apt,7,4,459,4.6,3,100
within an hour,96.43234029939234,87.44211994421188,South of Market,Entire home/apt,4,3,90,4.22,1,0
within an hour,100,100,Parkside,Entire home/apt,1,1,65,4.44,1,0
within an hour,100,100,Castro/Upper Market,Entire home/apt,2,1,360,4.85,1,13
within a day,100,0,Marina,Entire home/apt,6,2,799,5,2,0
within a day,100,75,Castro/Upper Market,Entire home/apt,9,5,470,5,3,208
within a day,100,20,North Beach,Entire home/apt,2,1,325,4.17,1,2
within an hour,96.43234029939234,87.44211994421188,Castro/Upper Market,Entire home/apt,2,1,140,5,1,365
within an hour,100,96,Twin Peaks,Private room,2,1,41,4.63,3,0
within a day,100,88,Excelsior,Private room,1,1,64,4.86,1,13
within an hour,96.43234029939234,100,South of Market,Entire home/apt,2,1.7826360095489384,85,4.93,1,210
within a few hours,75,0,Sunset,Private room,2,1,100,4.07,1,260
within an hour,100,100,Castro/Upper Market,Private room,5,2,350,5,1,197
within an hour,100,100,Castro/Upper Market,Entire home/apt,8,3,595,4.87,2,287
within an hour,96.43234029939234,100,Marina,Entire home/apt,5,3,365,4.88,2,28
within an hour,100,100,South of Market,Entire home/apt,5,2,187,4.79,1,289
within an hour,100,91,Potrero Hill,Entire home/apt,7,3,425,4.64,2,286
within a few hours,100,100,South of Market,Entire home/apt,4,2,100,4.67,1,0
within a day,100,40,Bernal Heights,Entire home/apt,8,4,411,4.82,2,53
within a few hours,100,100,Sunset,Entire home/apt,6,3,199,4.8,2,7
within a few hours,100,100,Twin Peaks,Private room,2,1,86,4.82,1,115
within an hour,96.43234029939234,87.44211994421188,Presidio,Private room,2,1.7826360095489384,500,4.766641295546558,1.2859279571232707,0
